Date,Country,Product,Price
22/09/2025,HU,fuel_oil_2,
22/09/2025,HU,LPG,835.2
22/09/2025,IE,exchange_rate,1708.1
22/09/2025,IE,euro95,1658
22/09/2025,IE,diesel,944.1
22/09/2025,IE,heading_oil,945.8
22/09/2025,IE,fuel_oil_1,
22/09/2025,IE,fuel_oil_2,
22/09/2025,IT,exchange_rate,1713.5
22/09/2025,IT,euro95,1638.4
22/09/2025,IT,diesel,1386.8
22/09/2025,IT,heading_oil,534.8
22/09/2025,IT,fuel_oil_1,
22/09/2025,IT,fuel_oil_2,696.7
22/09/2025,LT,exchange_rate,1
22/09/2025,LT,euro95,1399.8
22/09/2025,LT,diesel,1473.8
22/09/2025,LT,heading_oil,857.7
22/09/2025,LT,fuel_oil_1,
22/09/2025,LT,fuel_oil_2,
22/09/2025,LT,LPG,655.4
22/09/2025,LU,exchange_rate,1491
22/09/2025,LU,euro95,1424
22/09/2025,LU,diesel,862
22/09/2025,LU,heading_oil,
22/09/2025,LU,fuel_oil_1,
22/09/2025,LU,fuel_oil_2,660
22/09/2025,LV,exchange_rate,1
22/09/2025,LV,euro95,1542.3
22/09/2025,LV,diesel,1523.3
22/09/2025,LV,heading_oil,1275.9
22/09/2025,LV,fuel_oil_1,
22/09/2025,LV,fuel_oil_2,
22/09/2025,LV,LPG,898.8
22/09/2025,MT,exchange_rate,1340
22/09/2025,MT,euro95,1210
22/09/2025,MT,diesel,1000
22/09/2025,MT,heading_oil,
22/09/2025,MT,fuel_oil_1,
22/09/2025,MT,fuel_oil_2,
22/09/2025,NL,exchange_rate,1949
22/09/2025,NL,euro95,1708
22/09/2025,NL,diesel,
22/09/2025,NL,heading_oil,
22/09/2025,NL,fuel_oil_1,
22/09/2025,NL,fuel_oil_2,767
22/09/2025,PL,exchange_rate,0.234796901
